timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], compute_mode
2022/04/05 23:48:24.231, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:25.232, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:26.233, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:27.234, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:28.235, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:29.236, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:30.237, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:31.238, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:32.239, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:33.240, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:34.241, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:35.242, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:36.243, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:37.245, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:38.246, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:39.247, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:40.248, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:41.249, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:42.250, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:43.251, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:44.252, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:45.253, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:46.254, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:47.255, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:48.256, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:49.257, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:50.258, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:51.259, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:52.261, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:53.262, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:54.263, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:55.264, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:56.265, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:57.266, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:58.267, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
